0,1001508970962571265,
1,1017725020125085701,
2,1029352031167729664,
3,1023664612502327297,
4,1010459223921254400,
5,1002160831491182593,
6,1048248043705790464,
7,1048085297496379392,
8,1047120770663624704,
9,1043408668803256320,
10,1042365365961932800,
11,1042289105176952832,
12,1042077402631888896,
0,1001508970962571265,
1,1017725020125085701,
2,1029352031167729664,
3,1023664612502327297,
4,1010459223921254400,
5,1002160831491182593,
6,1048248043705790464,
7,1048085297496379392,
8,1047120770663624704,
9,1043408668803256320,
10,1042365365961932800,
11,1042289105176952832,
12,1042077402631888896,
0,1001508970962571265,
1,1017725020125085701,
2,1029352031167729664,
3,1023664612502327297,
4,1010459223921254400,
5,1002160831491182593,
6,1048248043705790464,
7,1048085297496379392,
8,1047120770663624704,
9,1043408668803256320,
10,1042365365961932800,
11,1042289105176952832,
12,1042077402631888896,
